County,TotalPop,IncomePerCap,Poverty,Id,%Poverty,cases,deaths,TotalCases,TotalDeaths,TotalCasesper100k,TotalDeathsper100k
"Cattaraugus County, New York",78175,478872,340.8,451,0.435944995,297068,6048,297068,6048,2.97068,0.06048
"Cavalier County, North Dakota",3817,86315,17.3,452,0.453235525,46291,396,46291,396,0.46291,0.00396
"Cayey Municipio, Puerto Rico",45431,134830,492.3,453,1.083621316,,,,,,
"Cayuga County, New York",78319,533880,229.3,454,0.292776976,334792,4430,334792,4430,3.34792,0.0443
"Cecil County, Maryland",102416,619133,182,455,0.177706608,501676,13480,501676,13480,5.01676,0.1348
"Cedar County, Iowa",18368,150720,26.9,456,0.146450348,172100,2123,172100,2123,1.721,0.02123
"Cedar County, Missouri",13862,61146,66,457,0.476121772,68256,970,68256,970,0.68256,0.0097
"Cedar County, Nebraska",8561,59410,19.2,458,0.224272865,63926,768,63926,768,0.63926,0.00768
"Ceiba Municipio, Puerto Rico",12238,35106,128.9,459,1.053276679,,,,,,
"Centre County, Pennsylvania",160646,891996,626.7,460,0.390112421,1139187,15106,1139187,15106,11.39187,0.15106
"Cerro Gordo County, Iowa",43134,355772,115.1,461,0.266842862,548400,8614,548400,8614,5.484,0.08614
